,windBearing
1969-12-31 16:10:18,283.0
1969-12-31 16:10:19,265.0
1969-12-31 16:10:20,239.0
1969-12-31 16:10:21,265.0
1969-12-31 16:10:22,288.0
1969-12-31 16:10:23,274.0
1969-12-31 16:10:24,283.0
1969-12-31 16:10:25,281.0
1969-12-31 16:10:26,296.0
1969-12-31 16:10:27,274.0
1969-12-31 16:10:28,290.0
1969-12-31 16:10:29,265.0
1969-12-31 16:10:30,259.0
1969-12-31 16:10:31,218.0
1969-12-31 16:10:32,152.0
1969-12-31 16:10:33,145.0
1969-12-31 16:10:34,86.0
1969-12-31 16:10:35,91.0
1969-12-31 16:10:36,102.0
1969-12-31 16:10:37,140.0
1969-12-31 16:10:38,140.0
1969-12-31 16:10:39,133.0
1969-12-31 16:10:40,235.0
1969-12-31 16:10:41,249.0
1969-12-31 16:10:42,241.0
1969-12-31 16:10:43,234.0
1969-12-31 16:10:44,243.0
1969-12-31 16:10:45,235.0
1969-12-31 16:10:46,244.0
1969-12-31 16:10:47,248.0
1969-12-31 16:10:48,242.0
1969-12-31 16:10:49,258.0
1969-12-31 16:10:50,256.0
1969-12-31 16:10:51,244.0
1969-12-31 16:10:52,241.0
1969-12-31 16:10:53,247.0
1969-12-31 16:10:54,230.0
1969-12-31 16:10:55,248.0
1969-12-31 16:10:56,231.0
1969-12-31 16:10:57,215.0
1969-12-31 16:10:58,201.0
1969-12-31 16:10:59,244.0
1969-12-31 16:11:00,233.0
1969-12-31 16:11:01,238.0
1969-12-31 16:11:02,239.0
1969-12-31 16:11:03,257.0
1969-12-31 16:11:04,259.0
1969-12-31 16:11:05,261.0
1969-12-31 16:11:06,271.0
1969-12-31 16:11:07,285.0
1969-12-31 16:11:08,282.0
1969-12-31 16:11:09,283.0
1969-12-31 16:11:10,262.0
1969-12-31 16:11:11,258.0
1969-12-31 16:11:12,279.0
1969-12-31 16:11:13,285.0
1969-12-31 16:11:14,288.0
1969-12-31 16:11:15,296.0
1969-12-31 16:11:16,284.0
1969-12-31 16:11:17,290.0
1969-12-31 16:11:18,293.0
1969-12-31 16:11:19,298.0
1969-12-31 16:11:20,310.0
1969-12-31 16:11:21,295.0
1969-12-31 16:11:22,314.0
1969-12-31 16:11:23,307.0
1969-12-31 16:11:24,308.0
1969-12-31 16:11:25,296.0
1969-12-31 16:11:26,294.0
1969-12-31 16:11:27,284.0
1969-12-31 16:11:28,287.0
1969-12-31 16:11:29,286.0
1969-12-31 16:11:30,280.0
1969-12-31 16:11:31,287.0
1969-12-31 16:11:32,283.0
1969-12-31 16:11:33,278.0
1969-12-31 16:11:34,276.0
1969-12-31 16:11:35,281.0
1969-12-31 16:11:36,281.0
1969-12-31 16:11:37,290.0
1969-12-31 16:11:38,295.0
1969-12-31 16:11:39,310.0
1969-12-31 16:11:40,297.0
1969-12-31 16:11:41,306.0
