,carbon_intensity
707,0.20967394600000003
708,0.20796785199999998
709,0.206223834
710,0.206029717
711,0.205514435
712,0.205738521
713,0.205816168
714,0.20532895
715,0.205289127
716,0.204723727
717,0.20468013300000001
718,0.20493046199999998
719,0.20464573100000003
720,0.20466041199999999
721,0.204793781
722,0.20527884600000001
723,0.205362162
724,0.20490526899999997
725,0.205003235
726,0.205600653
727,0.206487648
728,0.20660979899999998
729,0.207274753
730,0.20846012100000003
731,0.20840997600000002
732,0.20823006600000002
733,0.208484177
734,0.208585042
735,0.209034506
736,0.21007084399999998
737,0.211047619
738,0.21301925
739,0.216105627
740,0.219076508
741,0.221576064
742,0.22390196699999998
743,0.22717364
744,0.230875518
745,0.231120802
746,0.233447871
747,0.23516621399999998
748,0.240364985
749,0.24448041199999998
750,0.24968990300000002
751,0.25724518399999996
752,0.264008489
753,0.270880636
754,0.28076487699999997
755,0.288469281
756,0.29392702800000003
757,0.296136826
758,0.298284118
759,0.303111992
760,0.312472975
761,0.31665235399999997
762,0.31952571
763,0.319683467
764,0.321972582
765,0.325002831
766,0.326393578
767,0.333667297
768,0.339097937
769,0.337544141
770,0.33019275
771,0.330135521
772,0.329221008
773,0.335849976
774,0.337867774
775,0.338860104
776,0.3417417
777,0.34358939200000005
778,0.34281114
779,0.341191745
780,0.340565619
781,0.33949309999999994
782,0.338380041
783,0.334827539
784,0.334427463
785,0.33353863
786,0.33170164
787,0.332044218
788,0.331952055
789,0.334257548
790,0.33399459600000003
791,0.333710485
792,0.332864204
793,0.334147768
794,0.33633923
795,0.336996211
796,0.335441733
797,0.334755384
798,0.333930355
799,0.332564464
800,0.329574064
801,0.329711775
802,0.330205664
803,0.33259507899999996
804,0.33246573
805,0.33450679699999997
806,0.337095875
807,0.33966149
808,0.340415866
809,0.33987111200000003
810,0.33951938299999995
811,0.340502675
812,0.340706248
813,0.342028063
814,0.34301953799999996
815,0.342406775
816,0.34209117200000005
817,0.34396412600000004
818,0.344902074
819,0.345194185
820,0.346021388
821,0.345443955
822,0.34641838
823,0.346189266
824,0.34716730100000004
825,0.34655338700000005
826,0.34653059700000005
827,0.346624275
828,0.347034202
829,0.34644265799999996
830,0.347353569
831,0.34457044
832,0.343176716
833,0.34230485
834,0.344252018
835,0.34341924100000004
836,0.343548323
837,0.338798902
838,0.338564394
839,0.337904885
840,0.336755397
841,0.336558876
842,0.33642215799999997
843,0.335560229
844,0.334568158
845,0.334098689
846,0.33518285
847,0.333234509
848,0.332170213
849,0.332819986
850,0.33541044600000003
851,0.33560573200000005
852,0.33566158799999996
853,0.33275071
854,0.333757515
855,0.332967756
856,0.332996174
857,0.332891598
858,0.333126248
859,0.333482322
860,0.33337816
861,0.332734459
862,0.33304833
863,0.332686405
864,0.332864148
865,0.332498292
866,0.334093605
867,0.334750023
868,0.334817331
869,0.334345526
870,0.334813581
871,0.332731732
872,0.333874108
873,0.332560727
874,0.332773188
875,0.331985311
876,0.334125542
877,0.334501612
878,0.33404961
879,0.335642406
880,0.336163227
881,0.335320627
882,0.33626280700000005
883,0.33534089300000003
884,0.335621268
885,0.335325959
886,0.334701581
887,0.333788364
888,0.335173911
889,0.333804609
890,0.334512857
891,0.33391550600000003
892,0.332956313
893,0.333474636
894,0.332973024
895,0.333380355
896,0.332753759
897,0.332518682
898,0.331834364
899,0.332818135
900,0.333037632
901,0.331356286
902,0.33214797
903,0.33167243399999996
904,0.33178665
905,0.33316529899999997
906,0.333318097
907,0.333120874
908,0.333015959
909,0.332490176
910,0.332328323
911,0.332390699
912,0.331637662
913,0.328620507
914,0.32609075
915,0.325748035
916,0.326768593
917,0.327500967
918,0.327106789
919,0.329074293
920,0.331859897
921,0.333221659
922,0.332929479
923,0.331352093
924,0.329744391
925,0.329211622
926,0.330635838
927,0.33097170000000004
928,0.331745532
929,0.33490934699999997
930,0.33624301700000003
931,0.335492578
932,0.33647545700000003
933,0.338763959
934,0.338503266
935,0.33842529299999996
936,0.339579075
937,0.338345299
938,0.339589421
939,0.337585098
940,0.335302033
941,0.330945986
942,0.329278335
943,0.32556225
944,0.322620427
945,0.314827252
946,0.309872302
947,0.301770276
948,0.29505002399999997
949,0.290264355
950,0.288030484
951,0.28360496399999996
952,0.276774339
953,0.26995552899999997
954,0.262362169
955,0.25746057
956,0.253632811
957,0.248245882
958,0.24320288
959,0.24007684899999998
960,0.235960267
961,0.23420909899999998
962,0.23594940600000003
963,0.235574132
964,0.23490665300000002
965,0.231149905
966,0.230633665
967,0.22853104
968,0.227827182
969,0.226382306
970,0.22625421399999998
971,0.223898467
972,0.224311834
973,0.224039543
974,0.22528114800000001
975,0.225421604
976,0.224181973
977,0.22379073300000002
978,0.22252657399999998
979,0.222117705
980,0.22197594699999998
981,0.221215615
982,0.22070078199999998
983,0.220238588
984,0.22001082600000002
985,0.219851345
986,0.21968872899999997
987,0.222194125
988,0.22039903800000002
989,0.222255118
990,0.22257079899999999
991,0.221957751
992,0.221474796
993,0.220909401
994,0.219924812
995,0.22003262899999998
996,0.218092868
997,0.22032730399999997
998,0.21843298100000003
999,0.21774228399999998
1000,0.218863362
1001,0.216782007
1002,0.21647959600000002
1003,0.213472898
1004,0.213860784
1005,0.21341938800000002
1006,0.212330553
1007,0.21186625399999998
1008,0.211101913
1009,0.211112561
1010,0.211725818
1011,0.21133930899999998
1012,0.21179753199999998
1013,0.21099198
1014,0.210560711
1015,0.21051715899999998
1016,0.21089676699999998
1017,0.21433850699999998
1018,0.213067072
1019,0.214582792
1020,0.214882834
1021,0.215788332
1022,0.21633554100000002
1023,0.217538235
1024,0.218893411
1025,0.21994134899999998
1026,0.22299019399999997
1027,0.222442643
1028,0.22385613899999998
1029,0.225961745
1030,0.229275387
1031,0.233000213
1032,0.235687669
1033,0.235498643
1034,0.232071081
1035,0.233095107
1036,0.236989592
1037,0.24130544399999998
1038,0.246660245
1039,0.252405749
1040,0.261772509
1041,0.27270851399999996
1042,0.27878937
1043,0.281067862
1044,0.287641269
1045,0.29486816
1046,0.299579594
1047,0.30477449300000004
1048,0.312925441
1049,0.32020541199999997
1050,0.323920461
1051,0.32332025
1052,0.324948962
1053,0.32560272
1054,0.326415452
1055,0.329554015
1056,0.329699459
1057,0.329737544
1058,0.32930358600000004
1059,0.328107462
1060,0.329064888
1061,0.32917839
1062,0.330042463
1063,0.331542865
1064,0.333978873
1065,0.336273545
1066,0.336628111
1067,0.336705405
1068,0.33764503799999995
1069,0.339362075
1070,0.337672335
1071,0.339098035
1072,0.337363796
1073,0.335832453
1074,0.335573303
1075,0.33589129799999995
1076,0.334343506
1077,0.333451027
1078,0.332614765
1079,0.33360461399999997
1080,0.332377513
